datetime,open,high,low,close,volume
2023-07-03 14:56:00,33160,33165,33155,33160,10
2023-07-03 14:57:00,33160,33165,33160,33165,13
2023-07-03 14:58:00,33165,33165,33160,33160,3
2023-07-03 14:59:00,33160,33160,33155,33155,42
2023-07-03 15:00:00,33155,33160,33150,33150,48
2023-07-03 15:01:00,33145,33150,33140,33140,33
2023-07-03 15:02:00,33150,33150,33150,33150,2
2023-07-03 15:03:00,33155,33155,33150,33150,14
2023-07-03 15:04:00,33155,33155,33155,33155,9
2023-07-03 15:05:00,33155,33160,33150,33155,19
2023-07-03 15:07:00,33155,33165,33155,33165,11
2023-07-03 15:08:00,33165,33165,33165,33165,1
2023-07-03 15:09:00,33170,33170,33165,33165,6
2023-07-03 15:10:00,33160,33160,33155,33155,7
2023-07-03 15:11:00,33155,33155,33150,33150,4
2023-07-03 15:12:00,33150,33150,33145,33145,4
2023-07-03 15:13:00,33145,33145,33145,33145,9
2023-07-03 15:14:00,33145,33145,33145,33145,3
2023-07-03 15:15:00,33150,33150,33150,33150,8
2023-07-03 08:45:00,33615,33625,33615,33615,64
2023-07-03 08:46:00,33615,33635,33615,33630,47
2023-07-03 08:47:00,33620,33620,33595,33595,49
2023-07-03 08:48:00,33595,33620,33595,33610,74
2023-07-03 08:49:00,33610,33620,33605,33615,39
2023-07-03 08:50:00,33610,33615,33605,33605,71
2023-07-03 08:51:00,33600,33625,33600,33610,95
2023-07-03 08:52:00,33610,33620,33610,33615,73
2023-07-03 08:53:00,33620,33635,33620,33625,68
2023-07-03 08:54:00,33625,33625,33610,33620,92
2023-07-03 08:55:00,33625,33645,33620,33640,104
2023-07-03 08:56:00,33640,33640,33620,33635,122
2023-07-03 08:57:00,33635,33650,33635,33645,70
2023-07-03 08:58:00,33650,33650,33630,33635,92
2023-07-03 08:59:00,33640,33640,33630,33640,71
2023-07-03 09:00:00,33645,33665,33645,33660,212
2023-07-03 09:01:00,33660,33665,33655,33655,107
2023-07-03 09:02:00,33655,33670,33655,33660,118
2023-07-03 09:03:00,33665,33685,33665,33680,59
2023-07-03 09:04:00,33685,33685,33655,33655,139
2023-07-03 09:05:00,33660,33660,33640,33645,62
2023-07-03 09:06:00,33650,33665,33650,33655,168
2023-07-03 09:07:00,33660,33665,33655,33660,64
2023-07-03 09:08:00,33665,33665,33650,33650,44
2023-07-03 09:09:00,33655,33665,33655,33665,55
2023-07-03 09:10:00,33665,33670,33645,33665,124
2023-07-03 09:11:00,33665,33675,33660,33660,104
2023-07-03 09:12:00,33665,33665,33655,33655,48
2023-07-03 09:13:00,33650,33665,33645,33655,73
2023-07-03 09:14:00,33655,33665,33650,33655,130
2023-07-03 09:15:00,33655,33655,33645,33655,81
2023-07-03 09:16:00,33655,33660,33655,33655,79
2023-07-03 09:17:00,33655,33660,33625,33630,179
2023-07-03 09:18:00,33635,33650,33625,33650,133
2023-07-03 09:19:00,33645,33650,33635,33645,59
2023-07-03 09:20:00,33650,33655,33645,33645,82
2023-07-03 09:21:00,33650,33660,33645,33660,118
2023-07-03 09:22:00,33660,33665,33660,33660,52
2023-07-03 09:23:00,33665,33675,33665,33670,101
2023-07-03 09:24:00,33670,33680,33670,33675,112
2023-07-03 09:25:00,33675,33685,33665,33665,103
2023-07-03 09:26:00,33660,33665,33655,33665,46
2023-07-03 09:27:00,33665,33665,33655,33660,90
2023-07-03 09:28:00,33660,33665,33660,33660,50
2023-07-03 09:29:00,33665,33665,33650,33650,45
2023-07-03 09:30:00,33650,33660,33650,33660,74
2023-07-03 09:31:00,33665,33675,33655,33670,156
2023-07-03 09:32:00,33675,33685,33670,33680,93
2023-07-03 09:33:00,33685,33695,33675,33680,101
2023-07-03 09:34:00,33685,33695,33680,33690,102
2023-07-03 09:35:00,33690,33690,33670,33675,137
2023-07-03 09:36:00,33680,33690,33670,33690,113
2023-07-03 09:37:00,33695,33705,33690,33690,186
2023-07-03 09:38:00,33690,33700,33680,33680,142
2023-07-03 09:39:00,33680,33685,33670,33685,109
2023-07-03 09:40:00,33690,33690,33675,33680,106
2023-07-03 09:41:00,33680,33685,33675,33675,137
2023-07-03 09:42:00,33680,33705,33680,33705,165
2023-07-03 09:43:00,33705,33715,33700,33710,158
2023-07-03 09:44:00,33705,33710,33705,33710,83
2023-07-03 09:45:00,33705,33705,33690,33700,145
2023-07-03 09:46:00,33695,33700,33695,33695,98
2023-07-03 09:47:00,33695,33695,33680,33680,93
2023-07-03 09:48:00,33685,33695,33670,33690,214
2023-07-03 09:49:00,33690,33695,33685,33690,82
2023-07-03 09:50:00,33690,33700,33685,33700,114
2023-07-03 09:51:00,33700,33700,33690,33700,98
2023-07-03 09:52:00,33700,33700,33675,33680,115
2023-07-03 09:53:00,33680,33695,33680,33695,173
2023-07-03 09:54:00,33695,33695,33690,33690,94
2023-07-03 09:55:00,33690,33695,33685,33690,124
2023-07-03 09:56:00,33690,33705,33685,33705,143
2023-07-03 09:57:00,33705,33725,33700,33720,146
2023-07-03 09:58:00,33720,33720,33700,33705,162
2023-07-03 09:59:00,33705,33705,33690,33695,163
2023-07-03 10:00:00,33700,33700,33690,33690,74
2023-07-03 10:01:00,33685,33685,33670,33670,86
2023-07-03 10:02:00,33675,33675,33660,33665,88
2023-07-03 10:03:00,33670,33680,33665,33675,150
2023-07-03 10:04:00,33680,33685,33680,33680,36
2023-07-03 10:05:00,33680,33690,33680,33685,64
2023-07-03 10:06:00,33690,33705,33690,33700,94
2023-07-03 10:07:00,33700,33700,33685,33690,75
2023-07-03 10:08:00,33690,33700,33685,33700,54
2023-07-03 10:09:00,33700,33705,33685,33695,55
2023-07-03 10:10:00,33695,33705,33695,33695,76
2023-07-03 10:11:00,33690,33695,33690,33695,40
2023-07-03 10:12:00,33695,33695,33690,33695,78
2023-07-03 10:13:00,33695,33695,33685,33685,36
2023-07-03 10:14:00,33690,33690,33680,33680,71
2023-07-03 10:15:00,33680,33685,33675,33675,67
2023-07-03 10:16:00,33670,33670,33665,33665,137
2023-07-03 10:17:00,33665,33670,33665,33670,66
2023-07-03 10:18:00,33670,33670,33670,33670,47
2023-07-03 10:19:00,33670,33670,33665,33670,25
2023-07-03 10:20:00,33675,33680,33670,33670,73
2023-07-03 10:21:00,33670,33675,33660,33665,97
2023-07-03 10:22:00,33665,33680,33660,33680,47
2023-07-03 10:23:00,33680,33690,33680,33680,109
2023-07-03 10:24:00,33680,33685,33650,33655,486
2023-07-03 10:25:00,33650,33650,33585,33590,741
2023-07-03 10:26:00,33590,33630,33590,33625,142
2023-07-03 10:27:00,33620,33640,33620,33640,121
2023-07-03 10:28:00,33640,33645,33640,33645,25
2023-07-03 10:29:00,33650,33665,33650,33650,121
2023-07-03 10:30:00,33650,33660,33650,33655,49
2023-07-03 10:31:00,33655,33670,33650,33665,92
2023-07-03 10:32:00,33665,33665,33640,33640,79
2023-07-03 10:33:00,33640,33655,33640,33655,29
